reservoir,n_test,phys_KGE_L1,phys_KGE_L2,phys_KGE_L3,phys_KGE_L4,phys_KGE_L5,phys_KGE_L6,phys_KGE_L7,lgbmphys_KGE_L1,lgbmphys_KGE_L2,lgbmphys_KGE_L3,lgbmphys_KGE_L4,lgbmphys_KGE_L5,lgbmphys_KGE_L6,lgbmphys_KGE_L7,cbphys_KGE_L1,cbphys_KGE_L2,cbphys_KGE_L3,cbphys_KGE_L4,cbphys_KGE_L5,cbphys_KGE_L6,cbphys_KGE_L7,xgb_KGE_L1,xgb_KGE_L2,xgb_KGE_L3,xgb_KGE_L4,xgb_KGE_L5,xgb_KGE_L6,xgb_KGE_L7,lgbm_KGE_L1,lgbm_KGE_L2,lgbm_KGE_L3,lgbm_KGE_L4,lgbm_KGE_L5,lgbm_KGE_L6,lgbm_KGE_L7,cb_KGE_L1,cb_KGE_L2,cb_KGE_L3,cb_KGE_L4,cb_KGE_L5,cb_KGE_L6,cb_KGE_L7,persist_KGE_L1,persist_KGE_L2,persist_KGE_L3,persist_KGE_L4,persist_KGE_L5,persist_KGE_L6,persist_KGE_L7
ResOpsUS_292,1587,0.9746586383526566,0.45437078450014357,0.32646957904391194,0.3136517648245828,0.32578589596093943,0.3437630402948444,0.3712861504636247,0.9767245341840755,0.3977055290129011,0.279694013829193,0.2671750483533666,0.29274416360585376,0.3290554757320042,0.3708323936216379,0.974103576988536,0.42856883347837327,0.3446148997263644,0.3278035033006381,0.329915604207225,0.350556573672255,0.3583897528156621,0.8176711698269965,0.7586867341612009,0.6249307245463495,0.580525946859695,0.5658981314396506,0.5516529137715174,0.5398105703135048,0.8112160689824763,0.7936595073591403,0.7155107220913239,0.6431299848811413,0.6046217088422476,0.5824844120254079,0.5604194036129235,0.7988848953489526,0.7432461041211998,0.6287927865290982,0.5860934717622035,0.5951706712366982,0.5854533167056379,0.556598453956217,0.993519059615582,0.980893025695714,0.9668961184696372,0.9514768303523413,0.9341119189827727,0.9150098546370572,0.8948026114756928
ResOpsUS_319,1587,0.9939606232898217,0.9151085933255004,0.8555368157747565,0.8456582312543526,0.8277225872566731,0.8164916784703176,0.8077660807652108,0.9901256201355098,0.8356617816918148,0.716902970434186,0.6336154990301632,0.6306028797415628,0.653423507764924,0.6710568783275574,0.9932504300494064,0.7048206848045445,0.3596368229791115,0.3045781033018672,0.3696351175091538,0.5211774551627792,0.6926346038757241,0.9739017087126143,0.9105605109726275,0.8694230448587217,0.8530404293988543,0.8637469785964796,0.8489426075630805,0.8341777889826503,0.9607069311663555,0.8785219210489364,0.8922680679888062,0.8639341613419053,0.8346645326702273,0.8334606307907038,0.8358905095956921,0.977414840692006,0.8966241463500387,0.9110684474836533,0.8831624388014583,0.8601980320456178,0.8660636815340148,0.8760133276072445,0.9742032009656924,0.9438386672307733,0.9123290096691912,0.8880416295777831,0.8641032884857136,0.8439510159582315,0.829818473052016
ResOpsUS_1192,1503,0.9895359729121839,0.7648221028382703,0.7609279555039272,0.727103642302397,0.7252599762112188,0.713943923136602,0.7126652398969784,0.9840383820394271,0.6875720732800014,0.6916707279875933,0.6579242511467238,0.6338340644716702,0.6169373120664725,0.6079891407701803,0.9863354658519965,0.7745500393892851,0.7563727835232134,0.7636234522411454,0.7467457515328324,0.7552402743429856,0.7377756157992308,0.9706508469548532,0.8256054131173786,0.7882824798191572,0.8033927950013193,0.8116359519295904,0.8127153566783339,0.8172330104156604,0.9912458974542567,0.8283084989355026,0.7399312511625944,0.7521296386132212,0.7547026517130869,0.7371820979683383,0.7311475433405967,0.980649467029429,0.8152490314872677,0.7618697379698725,0.7683181073227988,0.78158650969758,0.7850910993251249,0.7731775278068727,0.9925271763840372,0.9771101030358642,0.9556245746296546,0.9297073369295276,0.90098263878327,0.8709138295913029,0.8406570277386803
ResOpsUS_575,1854,0.9795665115751461,0.6773672624835492,0.5695937570577436,0.545222396437149,0.5401570256603098,0.5446924094237018,0.5415877966944371,0.9784659331246075,0.6029320487936121,0.48200568051188875,0.44516089320750374,0.43621077160583044,0.43314630573458346,0.42227552238517463,0.9732720245147817,0.5871007165358086,0.41721458412193335,0.41474326698168285,0.43537830918542986,0.45406568509318546,0.46771792478213325,0.8935090111152572,0.8586802700000419,0.7707236777813296,0.7400476390296117,0.751716318491374,0.7721128126771333,0.7980359869635214,0.8974619762288673,0.8919307706048246,0.831880388070257,0.7908951768916487,0.7887215602629583,0.7957131821850465,0.8020210305008071,0.893036689993626,0.8946216457089469,0.8340604947550858,0.7900271875417355,0.7912296285102013,0.7987393603644313,0.8050418257893533,0.9825400448124483,0.9559071576910502,0.9386609803164553,0.9246855022501183,0.9120433966645788,0.8986101102293079,0.8815498853198174
ResOpsUS_920,1245,0.9380519146907398,0.9204433638446491,0.9234132308002729,0.9390733935573082,0.9462070561527948,0.9460646045880582,0.9422014048476619,0.9373231051109192,0.9279811458922322,0.9314398734675624,0.9326498829759526,0.9403503544972736,0.943980196091182,0.9463392373619219,0.9324573219105632,0.9301229440127446,0.9308249106249237,0.9201813737206501,0.9142986063118874,0.9082622581245284,0.9006598038750189,0.9291953155200194,0.9296149798920755,0.9370716068907842,0.9293395685454022,0.930607391626679,0.9309740940444429,0.9308538416790109,0.9351922428692551,0.932371286562368,0.948326842326194,0.9449610867932675,0.9455625904864952,0.9451592139544582,0.9437018256022447,0.9273286888078647,0.9274572019447147,0.9374889239063501,0.9340587312137452,0.9335008134686086,0.9336376084424044,0.9333847657421821,0.9425331083492895,0.8944984617200298,0.8457981438151476,0.8079586108446857,0.781971641671998,0.7611757499042708,0.742513656275308
ResOpsUS_1092,1463,0.9467642348959552,0.49262651486075626,0.282309262589453,0.03537882320064234,-0.030911681035683536,-0.08426581180323023,-0.13712547600614755,0.9489545758310592,0.3730240151432126,0.08312421223908084,-0.3362101152236743,-0.4533435206059482,-0.49348304871937243,-0.5332331795290244,0.9517817770020823,0.4899471018091086,0.2540205704354176,-0.09600018885285921,-0.16747815044820524,-0.1690080359673043,-0.17344247533487822,0.7719351055648798,0.15560862265796505,0.10187448176400782,0.20331222611811794,0.19833381724637666,0.19152123429211187,0.19870561956389654,0.7556157582438487,0.3522055605262805,0.32375013171445777,0.23559715331816022,0.20150919339255635,0.20265580000038286,0.2192241858734838,0.7599863513083656,0.2944815965234784,0.30686643499885513,0.27485082396361027,0.21310578233509814,0.21236777452214117,0.22872667490398613,0.9548329399959327,0.8724442124529459,0.7937897261682355,0.730876701504733,0.6883017774771231,0.663222061680713,0.6403144369400928
ResOpsUS_1753,1613,0.8788619638046259,0.7845408953090588,0.8391076579961334,0.8313865000160656,0.8225771320870185,0.8325884326339037,0.8333665480107811,0.892376201989056,0.7934366601132492,0.8263903097711146,0.8269494604664629,0.8258464174933987,0.8273936111563667,0.8270266707322512,0.8874955972962074,0.7544533669298823,0.7889334469015961,0.811383763246418,0.8168890419787818,0.8163319030501479,0.8121584801703999,0.8898061645148064,0.898975795589218,0.8684765194073483,0.8609864247719939,0.8702556918588387,0.8688630017900385,0.8663413451797467,0.887835259559317,0.8861733180929806,0.8523400861848669,0.8441215904255508,0.8608477159745773,0.8609384891515774,0.8511482961194763,0.89114036097201,0.8891794299822088,0.8550510551036581,0.8566670268720518,0.8729483099187382,0.867283521384731,0.857318279522134,0.9873732358662206,0.9635995003631967,0.9359684118115501,0.9060885211080252,0.8757011435723845,0.8460192736362324,0.8174419359703547
ResOpsUS_1042,1463,0.8072490655378015,0.23573580424080787,0.30804603124378815,0.36099739364628713,0.4540819321012133,0.44955216450176827,0.43397763990209204,0.8001180032387769,0.2373742932770394,0.23858929410023577,0.30343078574426197,0.3482054917128913,0.34664204323654746,0.3304546779930495,0.8019271759467849,0.2082933421505615,0.36330737829518545,0.43336462209904936,0.4864836504148071,0.4650710514725064,0.43749998404083834,0.6370945255750009,0.3273975252573639,0.07356566630503181,0.37337496927596525,0.409515880850584,0.34056707938311936,0.33157318615779874,0.5875501517832089,0.4495660205895863,0.43391895767541433,0.547141657619738,0.4810228255038528,0.417951700608735,0.4043427282315999,0.5853135476563511,0.4622219831313126,0.42048794523021615,0.5592856593106497,0.49337506592618896,0.4287716540215398,0.4285156172405712,0.8618878510273268,0.7352863373405119,0.6757360444318827,0.6673028289696189,0.6310579243146729,0.5482082478476848,0.48828009792561244
ResOpsUS_1762,1385,0.9017457479981503,0.07817563393905014,-0.04406107547337745,0.004686840378168022,0.0834293728624792,0.09947322642166234,0.07354449965879561,0.914597280495912,-0.05399833688492017,-0.17172733766525217,-0.12629265365789388,-0.06241064896959547,-0.04277616073535673,-0.06014677764920662,0.91063129262059,0.08505565505781254,-0.039426674149020124,-0.02792293074370078,0.008341720301604849,0.04181153314000319,0.04549262755808203,0.685618511748193,0.551383008696507,0.4709715075797889,0.45406078619775336,0.35081423706269865,0.2675594023482517,0.2297207163830819,0.6931282837831287,0.6212383952371174,0.5507267053558152,0.4799461505168445,0.3596506509056384,0.27612373598238305,0.23514473759896903,0.6588225641890664,0.6550611451898409,0.6099481206706812,0.5207991441658588,0.4274390674510481,0.3943711007381182,0.4012418649974433,0.9407640088839001,0.8733339096175503,0.8346472047783993,0.8005026929862038,0.776060631062543,0.7774933045359944,0.7754449336370447
ResOpsUS_421,1096,0.8602901595477075,0.08794969009238618,-0.028570560957253743,-0.04815156198386883,-0.07460598144885289,-0.10147669130848391,-0.1266325671245121,0.8919211977997666,0.10811220974245639,0.0003361612192075425,-0.04530279437958318,-0.07855693755364546,-0.10302328909367886,-0.12928312764838235,0.9284045629982827,0.16326410579606654,-0.02291660347083213,-0.08806964611773571,-0.13595671696868972,-0.1805619878482525,-0.21591338586724396,0.40647753990784574,0.08976953067400506,0.5856350135740302,0.5714353775015056,0.5187128187018417,0.46775841257211603,0.44038527203315814,0.3893863671990948,0.19624396353587636,0.6509231044305241,0.5636821924512233,0.5090069723784025,0.48518561778262803,0.4840403798615218,0.3853201036878354,0.34126633608743606,0.6328630423518113,0.6428259591317099,0.6066773078581528,0.578426585663865,0.5664552561344731,0.994465196424269,0.9844121073059264,0.972314627230753,0.9596234679162913,0.9463331261992947,0.932737657792641,0.9184163623478241
