reservoir,n_test_old,n_test_new_strict,n_test_new_tol
ResOpsUS_600,1803,1559,1775
ResOpsUS_169,1794,1551,1767
ResOpsUS_144,1788,1379,1741
ResOpsUS_592,1773,1471,1741
ResOpsUS_191,1813,1473,1777
ResOpsUS_605,1789,1472,1753
ResOpsUS_609,1797,1557,1773
ResOpsUS_193,1803,1527,1771
ResOpsUS_585,1802,1558,1774
ResOpsUS_533,1663,1663,1663
ResOpsUS_612,1795,1509,1760
ResOpsUS_223,1543,1120,1460
ResOpsUS_956,768,225,492
ResOpsUS_507,1844,1724,1832
ResOpsUS_931,1664,1664,1664
ResOpsUS_210,1797,1516,1760
ResOpsUS_168,1683,1103,1605
ResOpsUS_185,1096,1096,1096
ResOpsUS_437,1827,1827,1827
ResOpsUS_173,1774,1384,1725
ResOpsUS_214,1817,1667,1802
ResOpsUS_113,1638,1559,1615
ResOpsUS_500,1633,1573,1627
ResOpsUS_1109,1854,1854,1854
ResOpsUS_458,1854,1854,1854
ResOpsUS_1095,1096,1096,1096
ResOpsUS_1916,926,809,908
ResOpsUS_657,1826,1796,1823
ResOpsUS_664,1776,1716,1770
ResOpsUS_620,1790,1209,1718
ResOpsUS_111,1749,1652,1723
