reservoir,n_rows,n_gap_rows,max_gap_days,frac_gapped
ResOpsUS_470,11053,3,21,0.000271
ResOpsUS_442,10965,118,24,0.010762
ResOpsUS_1872,10899,0,1,0.0
ResOpsUS_448,10707,475,231,0.044364
ResOpsUS_777,10669,38,3537,0.003562
ResOpsUS_508,10660,23,180,0.002158
ResOpsUS_368,10609,6,57,0.000566
ResOpsUS_549,10581,38,1279,0.003591
ResOpsUS_338,10406,64,526,0.00615
ResOpsUS_1735,10335,302,48,0.029221
ResOpsUS_518,10209,421,1092,0.041238
ResOpsUS_467,10166,2,4,0.000197
ResOpsUS_114,9931,22,1121,0.002215
ResOpsUS_524,9709,24,4263,0.002472
ResOpsUS_198,9683,66,1189,0.006816
ResOpsUS_1713,9624,15,14,0.001559
ResOpsUS_317,9562,2,22,0.000209
ResOpsUS_952,9439,109,11,0.011548
ResOpsUS_595,9397,139,274,0.014792
ResOpsUS_148,9283,187,243,0.020144
ResOpsUS_948,9262,95,207,0.010257
ResOpsUS_471,9181,132,700,0.014378
ResOpsUS_431,9171,216,39,0.023553
ResOpsUS_295,9005,1,7,0.000111
ResOpsUS_133,8941,66,1189,0.007382
ResOpsUS_600,8742,444,243,0.050789
ResOpsUS_169,8684,452,273,0.05205
ResOpsUS_144,8590,484,243,0.056345
ResOpsUS_592,8581,438,273,0.051043
ResOpsUS_191,8574,403,274,0.047003
ResOpsUS_605,8546,489,273,0.05722
ResOpsUS_609,8505,470,273,0.055262
ResOpsUS_193,8502,487,273,0.057281
ResOpsUS_585,8501,464,273,0.054582
ResOpsUS_533,8495,0,1,0.0
ResOpsUS_612,8482,481,273,0.056708
ResOpsUS_223,8312,464,277,0.055823
ResOpsUS_956,8179,593,126,0.072503
ResOpsUS_507,8109,46,1644,0.005673
ResOpsUS_931,8087,0,1,0.0
ResOpsUS_210,7940,410,603,0.051637
ResOpsUS_168,7894,519,366,0.065746
ResOpsUS_185,7860,151,132,0.019211
ResOpsUS_437,7763,499,1246,0.064279
ResOpsUS_173,7760,390,707,0.050258
ResOpsUS_214,7755,405,707,0.052224
ResOpsUS_113,6993,16,71,0.002288
ResOpsUS_500,6898,14,4037,0.00203
ResOpsUS_1109,6632,75,1789,0.011309
ResOpsUS_458,6601,0,1,0.0
ResOpsUS_1095,6495,124,1216,0.019092
ResOpsUS_1916,6397,9,1148,0.001407
ResOpsUS_657,6226,169,205,0.027144
ResOpsUS_664,5837,229,205,0.039232
ResOpsUS_620,5731,77,9,0.013436
ResOpsUS_111,5309,10,50,0.001884
