feature,mean_abs_shap,reservoir
doy_cos,1.4015357,ResOpsUS_1042
storage_trend,26.287542,ResOpsUS_1042
throughput_ratio,1.2062349,ResOpsUS_1042
storage_norm,1.7135178,ResOpsUS_1042
storage_deficit,1.4693626,ResOpsUS_1042
inflow_norm,0.30946636,ResOpsUS_1042
inflow_ma7,1.9693305,ResOpsUS_1042
inflow_ma30,7.527287,ResOpsUS_1042
inflow_anom7,0.6272925,ResOpsUS_1042
inflow,1.6083292,ResOpsUS_1762
inflow_lag1,14.222809,ResOpsUS_1762
inflow_lag2,1.1880822,ResOpsUS_1762
inflow_lag3,0.63584715,ResOpsUS_1762
storage_lag1,0.89722604,ResOpsUS_1762
storage_lag2,1.8923141,ResOpsUS_1762
doy_sin,1.9678125,ResOpsUS_1762
doy_cos,1.2244885,ResOpsUS_1762
storage_trend,18.678679,ResOpsUS_1762
throughput_ratio,1.2780203,ResOpsUS_1762
storage_norm,0.3224233,ResOpsUS_1762
storage_deficit,1.9011852,ResOpsUS_1762
inflow_norm,0.47044846,ResOpsUS_1762
inflow_ma7,1.8396553,ResOpsUS_1762
inflow_ma30,7.084096,ResOpsUS_1762
inflow_anom7,0.735216,ResOpsUS_1762
inflow,1.71509,ResOpsUS_421
inflow_lag1,12.877235,ResOpsUS_421
inflow_lag2,0.7336954,ResOpsUS_421
inflow_lag3,0.54767823,ResOpsUS_421
storage_lag1,0.21906255,ResOpsUS_421
storage_lag2,0.24400717,ResOpsUS_421
doy_sin,0.5602131,ResOpsUS_421
doy_cos,0.75995696,ResOpsUS_421
storage_trend,7.7438645,ResOpsUS_421
throughput_ratio,0.3591592,ResOpsUS_421
storage_norm,0.11560925,ResOpsUS_421
storage_deficit,0.9474771,ResOpsUS_421
inflow_norm,0.2918249,ResOpsUS_421
inflow_ma7,1.9776491,ResOpsUS_421
inflow_ma30,1.9604028,ResOpsUS_421
inflow_anom7,0.1647623,ResOpsUS_421
inflow,13.800072,ResOpsUS_415
inflow_lag1,8.808746,ResOpsUS_415
inflow_lag2,0.7848939,ResOpsUS_415
inflow_lag3,0.27501994,ResOpsUS_415
storage_lag1,0.21848415,ResOpsUS_415
storage_lag2,0.16777538,ResOpsUS_415
doy_sin,0.52624625,ResOpsUS_415
doy_cos,0.8911862,ResOpsUS_415
storage_trend,1.4336555,ResOpsUS_415
throughput_ratio,1.0748109,ResOpsUS_415
storage_norm,0.043591734,ResOpsUS_415
storage_deficit,0.19166437,ResOpsUS_415
inflow_norm,2.2773125,ResOpsUS_415
inflow_ma7,0.55245584,ResOpsUS_415
inflow_ma30,0.80200315,ResOpsUS_415
inflow_anom7,0.15643184,ResOpsUS_415
inflow,1.4537736,ResOpsUS_1017
inflow_lag1,8.922776,ResOpsUS_1017
inflow_lag2,1.3601053,ResOpsUS_1017
inflow_lag3,0.3793786,ResOpsUS_1017
storage_lag1,0.82799625,ResOpsUS_1017
storage_lag2,8.613968,ResOpsUS_1017
doy_sin,0.3481419,ResOpsUS_1017
doy_cos,0.77761894,ResOpsUS_1017
storage_trend,9.083872,ResOpsUS_1017
throughput_ratio,0.3836457,ResOpsUS_1017
storage_norm,0.3484712,ResOpsUS_1017
storage_deficit,0.34474245,ResOpsUS_1017
inflow_norm,0.30104628,ResOpsUS_1017
inflow_ma7,0.43672577,ResOpsUS_1017
inflow_ma30,0.48426607,ResOpsUS_1017
inflow_anom7,0.35163188,ResOpsUS_1017
inflow,0.010641594,ResOpsUS_1249
inflow_lag1,0.0014453132,ResOpsUS_1249
inflow_lag2,0.0006799673,ResOpsUS_1249
inflow_lag3,0.0012001367,ResOpsUS_1249
storage_lag1,0.01372054,ResOpsUS_1249
storage_lag2,0.0019521624,ResOpsUS_1249
doy_sin,0.0010754109,ResOpsUS_1249
doy_cos,0.0010168497,ResOpsUS_1249
storage_trend,0.004753229,ResOpsUS_1249
throughput_ratio,0.004261848,ResOpsUS_1249
storage_norm,0.006850938,ResOpsUS_1249
storage_deficit,0.02241363,ResOpsUS_1249
inflow_norm,0.0008407854,ResOpsUS_1249
inflow_ma7,0.0016244273,ResOpsUS_1249
inflow_ma30,0.0025892179,ResOpsUS_1249
inflow_anom7,0.00050489226,ResOpsUS_1249
inflow,0.415908,ResOpsUS_293
inflow_lag1,2.5698402,ResOpsUS_293
inflow_lag2,0.07613086,ResOpsUS_293
inflow_lag3,0.033205107,ResOpsUS_293
storage_lag1,0.06811961,ResOpsUS_293
storage_lag2,0.15294419,ResOpsUS_293
doy_sin,0.10808531,ResOpsUS_293
doy_cos,2.8907573,ResOpsUS_293
storage_trend,3.6450663,ResOpsUS_293
throughput_ratio,0.03544939,ResOpsUS_293
storage_norm,0.058510125,ResOpsUS_293
storage_deficit,0.07260656,ResOpsUS_293
inflow_norm,0.045391332,ResOpsUS_293
inflow_ma7,0.68729246,ResOpsUS_293
inflow_ma30,1.0477848,ResOpsUS_293
inflow_anom7,0.038212635,ResOpsUS_293
inflow,1.8673301,ResOpsUS_1777
inflow_lag1,21.862404,ResOpsUS_1777
inflow_lag2,2.2382045,ResOpsUS_1777
inflow_lag3,1.4623001,ResOpsUS_1777
storage_lag1,3.5805054,ResOpsUS_1777
storage_lag2,2.5873654,ResOpsUS_1777
doy_sin,2.376647,ResOpsUS_1777
doy_cos,2.0207977,ResOpsUS_1777
storage_trend,23.615795,ResOpsUS_1777
throughput_ratio,3.8885653,ResOpsUS_1777
storage_norm,1.0004972,ResOpsUS_1777
storage_deficit,5.475142,ResOpsUS_1777
inflow_norm,0.61848116,ResOpsUS_1777
inflow_ma7,27.923418,ResOpsUS_1777
inflow_ma30,30.837635,ResOpsUS_1777
inflow_anom7,1.6019008,ResOpsUS_1777
inflow,1.0035466,ResOpsUS_1883
inflow_lag1,0.038374104,ResOpsUS_1883
inflow_lag2,0.015166289,ResOpsUS_1883
inflow_lag3,0.021711916,ResOpsUS_1883
storage_lag1,7.1720777,ResOpsUS_1883
storage_lag2,0.27493882,ResOpsUS_1883
doy_sin,0.02297333,ResOpsUS_1883
doy_cos,0.117192015,ResOpsUS_1883
storage_trend,0.029466711,ResOpsUS_1883
throughput_ratio,0.053211305,ResOpsUS_1883
storage_norm,3.7655272,ResOpsUS_1883
storage_deficit,0.13492946,ResOpsUS_1883
inflow_norm,0.2647252,ResOpsUS_1883
inflow_ma7,0.054464135,ResOpsUS_1883
inflow_ma30,0.05002953,ResOpsUS_1883
inflow_anom7,0.09272425,ResOpsUS_1883
inflow,0.12182981,ResOpsUS_798
inflow_lag1,0.79131424,ResOpsUS_798
inflow_lag2,0.056186594,ResOpsUS_798
inflow_lag3,0.031601153,ResOpsUS_798
storage_lag1,0.6501339,ResOpsUS_798
storage_lag2,0.14061052,ResOpsUS_798
doy_sin,0.047738776,ResOpsUS_798
