full,raw_only,no_mass_balance,no_storage_state,no_flow_anomaly,reservoir
0.974290177243765,0.8160335880742714,0.8048567773144768,0.9784242690956279,0.9792231356751863,ResOpsUS_292
0.9937441733458804,0.9748855872134407,0.954137513319775,0.9929389065536326,0.993688501313762,ResOpsUS_319
0.9896813739209878,0.9711056729980311,0.9890014287554427,0.9913667499580301,0.9630307997624402,ResOpsUS_1192
0.9795242463171642,0.8935358832232242,0.898920668345551,0.9770957551726572,0.9730980831760079,ResOpsUS_575
0.9374798620578427,0.9286942120385416,0.9367058271356974,0.9373029012602301,0.9297568920427459,ResOpsUS_920
0.9458705275062542,0.769568896303788,0.8078428609425581,0.9508443253669615,0.9402422827187424,ResOpsUS_1092
0.8822495987984613,0.8919143956820297,0.875891834225743,0.8762656532534062,0.8866412525783846,ResOpsUS_1753
0.8070659502516206,0.6364066940709513,0.6320478269955666,0.8047099603504427,0.80070077678827,ResOpsUS_1042
0.9011393345982156,0.6855914696936896,0.7706621317200937,0.9056588095520556,0.903964458679634,ResOpsUS_1762
0.860218089686158,0.40555731660138616,0.43401253595136613,0.8580520512342835,0.9088727196281177,ResOpsUS_421
0.9853336671678037,0.9842518008414587,0.9849182403491058,0.9853188348655155,0.9834748893989581,ResOpsUS_415
0.9059874087257472,0.7731967747009035,0.824668101825996,0.9019127181906723,0.8992364882528239,ResOpsUS_1017
-7.066157445726594,-5.323471509124279,-4.184428959136891,-7.289469272891228,-6.995264234617698,ResOpsUS_1249
0.8644309962128371,0.6643847317917713,0.6986216339052571,0.8699075653890322,0.8465511043186695,ResOpsUS_293
0.84093801953828,0.5844094939562268,0.7250524680032443,0.835748211008797,0.8620253856161306,ResOpsUS_1777
0.9300915671738027,0.9143107181571625,0.9284187671287845,0.9292435407284657,0.922906939134072,ResOpsUS_1883
0.9116093980366223,0.7630257065400877,0.7144135793667563,0.9111747487062524,0.9169255136375419,ResOpsUS_798
0.8205305503760164,0.6859727559074262,0.7158523984107119,0.8247571035849628,0.8238402172183533,ResOpsUS_1756
0.9175214408243204,0.6675144993977453,0.661217839514829,0.9163010974275777,0.9054239399040588,ResOpsUS_1036
0.931535541464285,0.5999130158941921,0.6465158836278782,0.9296468064365546,0.9268585104634339,ResOpsUS_938
0.9639339592652891,0.7665181605892667,0.8275505073796235,0.964780743647583,0.9613297776824654,ResOpsUS_373
